timestamp,BAC
2018-05-02 4:56,78404
2018-05-02 6:41,78404
2018-05-03 0:38,78441
2018-05-03 6:36,78441
2018-05-03 6:51,78441
2018-05-03 7:10,78441
2018-05-03 7:37,78441
2018-05-03 7:46,78441
2018-05-03 11:22,78438
2018-05-03 12:45,78438
2018-05-03 13:45,78442
2018-05-03 14:45,78560
2018-05-03 15:45,78692
2018-05-03 16:45,78812
2018-05-03 17:45,78885
2018-05-03 18:45,78895
2018-05-03 19:45,78881
2018-05-03 20:45,78876
2018-05-03 21:45,78883
2018-05-03 22:45,78886
2018-05-03 23:45,78886
2018-05-04 0:45,78886
2018-05-04 1:45,78886
2018-05-04 2:45,78886
2018-05-04 3:45,78886
2018-05-04 4:45,78886
2018-05-04 5:45,78886
2018-05-04 6:45,78886
2018-05-04 7:45,78886
2018-05-04 8:45,78886
2018-05-04 9:45,78890
2018-05-04 10:45,78890
2018-05-04 11:45,78890
2018-05-04 12:45,78890
2018-05-04 20:50,78731
2018-05-04 20:56,78731
2018-05-04 21:02,78728
2018-05-04 21:08,78728
2018-05-04 21:14,78728
2018-05-04 21:20,78728
2018-05-04 21:26,78728
2018-05-04 21:32,78728
2018-05-04 21:45,78728
2018-05-04 22:45,78732
2018-05-04 23:45,78732
2018-05-05 0:45,78732
2018-05-05 1:45,78732
2018-05-05 2:45,78732
2018-05-05 3:45,78732
2018-05-05 4:45,78732
2018-05-05 5:45,78732
2018-05-05 6:45,78732
2018-05-05 7:45,78732
2018-05-05 8:45,78732
2018-05-05 9:45,78732
2018-05-05 10:45,78732
2018-05-05 11:45,78732
2018-05-05 12:45,78732
2018-05-05 13:45,78732
2018-05-05 14:45,78732
2018-05-05 15:45,78732
2018-05-05 16:45,78736
2018-05-05 17:45,78736
2018-05-05 18:45,78736
2018-05-05 19:45,78736
2018-05-05 20:45,78736
2018-05-05 21:45,78736
2018-05-05 22:45,78736
2018-05-05 23:45,78736
2018-05-06 0:45,78736
2018-05-06 1:45,78736
2018-05-06 2:45,78736
2018-05-06 3:45,78736
2018-05-06 4:45,78736
2018-05-06 5:45,78736
2018-05-06 6:45,78736
2018-05-06 7:45,78736
2018-05-06 8:45,78736
2018-05-06 9:45,78736
2018-05-06 10:45,78736
2018-05-06 11:45,78736
2018-05-06 12:45,78736
2018-05-06 13:45,78736
2018-05-06 14:45,78736
2018-05-06 15:45,78736
2018-05-06 16:45,78736
2018-05-06 17:45,78736
2018-05-06 18:45,78736
2018-05-06 19:45,78736
2018-05-06 20:45,78736
2018-05-06 21:45,78736
2018-05-06 22:45,78736
2018-05-06 23:45,78736
2018-05-07 0:45,78736
2018-05-07 1:45,78736
2018-05-07 1:59,78736
2018-05-07 2:45,78736
2018-05-07 3:45,78736
2018-05-07 4:45,78736
2018-05-07 5:45,78736
2018-05-07 6:45,78736
2018-05-07 7:45,78736
2018-05-07 8:45,78736
2018-05-07 9:45,78737
2018-05-07 10:45,78737
2018-05-07 11:45,78737
2018-05-07 12:45,78737
2018-05-07 13:45,78737
2018-05-07 14:45,78692
2018-05-07 15:45,78668
2018-05-07 16:45,78646
2018-05-07 22:45,78571
2018-05-07 23:45,78571
2018-05-08 0:45,78571
2018-05-08 1:45,78571
2018-05-08 2:45,78571
2018-05-08 3:45,78571
2018-05-08 4:45,78571
2018-05-08 5:45,78571
2018-05-08 6:45,78571
2018-05-08 7:45,78571
2018-05-08 8:45,78571
2018-05-08 9:45,78571
2018-05-08 10:45,78571
2018-05-08 11:45,78571
2018-05-08 12:45,78571
2018-05-08 13:45,78571
2018-05-08 14:45,78564
2018-05-08 15:45,78428
2018-05-08 16:45,78366
2018-05-08 17:45,78337
2018-05-08 18:45,78331
2018-05-08 19:45,78321
2018-05-08 20:45,78296
2018-05-08 21:45,78294
2018-05-08 22:45,78294
2018-05-08 23:45,78294
2018-05-09 0:45,78294
2018-05-09 1:45,78294
2018-05-09 2:45,78294
2018-05-09 3:45,78294
2018-05-09 4:45,78294
2018-05-09 5:45,78294
2018-05-09 6:45,78294
2018-05-09 7:45,78294
2018-05-09 8:45,78294
2018-05-09 9:45,78295
2018-05-09 10:45,78295
2018-05-09 11:45,78295
2018-05-09 12:45,78295
2018-05-09 13:45,78295
2018-05-09 14:45,78459
2018-05-09 15:45,78316
2018-05-09 16:45,78231
2018-05-09 17:45,78127
2018-05-09 18:45,78050
2018-05-09 19:45,78011
2018-05-09 20:45,77931
2018-05-09 21:45,77924
2018-05-09 22:45,77927
2018-05-09 23:45,77927
2018-05-10 0:45,77927
2018-05-10 1:45,77927
2018-05-10 2:45,77927
2018-05-10 3:45,77927
2018-05-10 4:45,77927
2018-05-10 5:45,77927
2018-05-10 6:45,77927
2018-05-10 7:45,77928
2018-05-10 8:45,77928
2018-05-10 9:45,77928
2018-05-10 10:45,77928
2018-05-10 11:45,77928
2018-05-10 12:45,77928
2018-05-10 13:45,77928
2018-05-10 14:45,77986
2018-05-10 15:45,77999
2018-05-10 16:45,78014
2018-05-10 17:45,77934
2018-05-10 18:45,77870
2018-05-10 19:45,77839
2018-05-10 20:45,77795
2018-05-10 21:45,77793
2018-05-10 22:45,77793
2018-05-10 23:45,77793
2018-05-11 0:45,77793
2018-05-11 1:45,77793
2018-05-11 2:45,77793
2018-05-11 3:45,77793
2018-05-11 4:45,77793
2018-05-11 5:45,77793
2018-05-11 6:45,77793
