timestamp,AAPL
2018-05-02 4:53,150785
2018-05-02 6:38,150785
2018-05-03 0:35,145510
2018-05-03 6:33,145510
2018-05-03 6:48,145510
2018-05-03 7:07,145510
2018-05-03 7:34,145510
2018-05-03 7:43,145510
2018-05-03 11:19,145511
2018-05-03 12:43,145511
2018-05-03 13:43,145512
2018-05-03 14:43,144974
2018-05-03 15:43,144543
2018-05-03 16:43,144389
2018-05-03 17:43,144264
2018-05-03 18:43,144060
2018-05-03 19:43,143941
2018-05-03 20:43,143789
2018-05-03 21:43,143754
2018-05-03 22:43,143747
2018-05-03 23:43,143747
2018-05-04 0:43,143747
2018-05-04 1:43,143747
2018-05-04 2:43,143747
2018-05-04 3:43,143747
2018-05-04 4:43,143747
2018-05-04 5:43,143747
2018-05-04 6:43,143747
2018-05-04 7:43,143747
2018-05-04 8:43,143747
2018-05-04 9:43,143749
2018-05-04 10:43,143749
2018-05-04 11:43,143749
2018-05-04 12:43,143749
2018-05-04 20:47,141460
2018-05-04 20:53,141460
2018-05-04 20:59,141460
2018-05-04 21:05,141439
2018-05-04 21:11,141439
2018-05-04 21:17,141439
2018-05-04 21:23,141439
2018-05-04 21:29,141439
2018-05-04 21:43,141439
2018-05-04 22:43,141424
2018-05-04 23:43,141424
2018-05-05 0:43,141424
2018-05-05 1:43,141424
2018-05-05 2:43,141424
2018-05-05 3:43,141424
2018-05-05 4:43,141424
2018-05-05 5:43,141424
2018-05-05 6:43,141424
2018-05-05 7:43,141424
2018-05-05 8:43,141424
2018-05-05 9:43,141424
2018-05-05 10:43,141424
2018-05-05 11:43,141424
2018-05-05 12:43,141424
2018-05-05 13:43,141424
2018-05-05 14:43,141424
2018-05-05 15:43,141424
2018-05-05 16:43,141436
2018-05-05 17:43,141436
2018-05-05 18:43,141436
2018-05-05 19:43,141436
2018-05-05 20:43,141436
2018-05-05 21:43,141436
2018-05-05 22:43,141436
2018-05-05 23:43,141436
2018-05-06 0:43,141436
2018-05-06 1:43,141436
2018-05-06 2:43,141437
2018-05-06 3:43,141437
2018-05-06 4:43,141437
2018-05-06 5:43,141437
2018-05-06 6:43,141437
2018-05-06 7:43,141437
2018-05-06 8:43,141437
2018-05-06 9:43,141437
2018-05-06 10:43,141437
2018-05-06 11:43,141437
2018-05-06 12:43,141437
2018-05-06 13:43,141437
2018-05-06 14:43,141437
2018-05-06 15:43,141437
2018-05-06 16:43,141437
2018-05-06 17:43,141437
2018-05-06 18:43,141437
2018-05-06 19:43,141437
2018-05-06 20:43,141437
2018-05-06 21:43,141437
2018-05-06 22:43,141437
2018-05-06 23:43,141437
2018-05-07 0:43,141437
2018-05-07 1:43,141437
2018-05-07 1:56,141437
2018-05-07 2:43,141437
2018-05-07 3:43,141437
2018-05-07 4:43,141437
2018-05-07 5:43,141437
2018-05-07 6:43,141437
2018-05-07 7:43,141437
2018-05-07 8:43,141437
2018-05-07 9:43,141422
2018-05-07 10:43,141422
2018-05-07 11:43,141422
2018-05-07 12:43,141422
2018-05-07 13:43,141414
2018-05-07 14:43,141585
2018-05-07 15:43,141692
2018-05-07 16:43,141637
2018-05-07 22:43,141179
2018-05-07 23:43,141179
2018-05-08 0:43,141179
2018-05-08 1:43,141179
2018-05-08 2:43,141179
2018-05-08 3:43,141179
2018-05-08 4:43,141179
2018-05-08 5:43,141179
2018-05-08 6:43,141179
2018-05-08 7:43,141179
2018-05-08 8:43,141179
2018-05-08 9:43,141183
2018-05-08 10:43,141186
2018-05-08 11:43,141186
2018-05-08 12:43,141186
2018-05-08 13:43,141186
2018-05-08 14:43,140936
2018-05-08 15:43,141003
2018-05-08 16:43,141023
2018-05-08 17:43,140999
2018-05-08 18:43,140958
2018-05-08 19:43,140896
2018-05-08 20:43,140837
2018-05-08 21:43,140821
2018-05-08 22:43,140820
2018-05-08 23:43,140820
2018-05-09 0:43,140820
2018-05-09 1:43,140820
2018-05-09 2:43,140820
2018-05-09 3:43,140820
2018-05-09 4:43,140820
2018-05-09 5:43,140820
2018-05-09 6:43,140820
2018-05-09 7:43,140820
2018-05-09 8:43,140820
2018-05-09 9:43,140823
2018-05-09 10:43,140822
2018-05-09 11:43,140822
2018-05-09 12:43,140822
2018-05-09 13:43,140822
2018-05-09 14:43,140980
2018-05-09 15:43,141013
2018-05-09 16:43,141012
2018-05-09 17:43,140980
2018-05-09 18:43,140932
2018-05-09 19:43,140896
2018-05-09 20:43,140763
2018-05-09 21:43,140748
2018-05-09 22:43,140742
2018-05-09 23:43,140742
