timestamp,GOOG
2018-05-02 4:51,17192
2018-05-02 6:36,17192
2018-05-03 0:32,17180
2018-05-03 6:31,17180
2018-05-03 6:46,17180
2018-05-03 7:04,17180
2018-05-03 7:31,17180
2018-05-03 7:40,17180
2018-05-03 11:17,17179
2018-05-03 12:40,17179
2018-05-03 13:40,17179
2018-05-03 14:40,17225
2018-05-03 15:40,17259
2018-05-03 16:40,17314
2018-05-03 17:40,17329
2018-05-03 18:40,17307
2018-05-03 19:40,17298
2018-05-03 20:40,17291
2018-05-03 21:40,17290
2018-05-03 22:40,17288
2018-05-03 23:40,17287
2018-05-04 0:40,17287
2018-05-04 1:40,17287
2018-05-04 2:40,17287
2018-05-04 3:40,17287
2018-05-04 4:40,17287
2018-05-04 5:40,17287
2018-05-04 6:40,17287
2018-05-04 7:40,17287
2018-05-04 8:40,17287
2018-05-04 9:40,17288
2018-05-04 10:40,17288
2018-05-04 11:40,17288
2018-05-04 12:40,17288
2018-05-04 20:45,16997
2018-05-04 20:51,16997
2018-05-04 20:57,16997
2018-05-04 21:03,16989
2018-05-04 21:09,16989
2018-05-04 21:15,16989
2018-05-04 21:21,16989
2018-05-04 21:27,16989
2018-05-04 21:40,16989
2018-05-04 22:40,16983
2018-05-04 23:40,16983
2018-05-05 0:40,16983
2018-05-05 1:40,16983
2018-05-05 2:40,16983
2018-05-05 3:40,16983
2018-05-05 4:40,16983
2018-05-05 5:40,16983
2018-05-05 6:40,16983
2018-05-05 7:40,16983
2018-05-05 8:40,16983
2018-05-05 9:40,16983
2018-05-05 10:40,16983
2018-05-05 11:40,16983
2018-05-05 12:40,16983
2018-05-05 13:40,16983
2018-05-05 14:40,16983
2018-05-05 15:40,16983
2018-05-05 16:40,16985
2018-05-05 17:40,16985
2018-05-05 18:40,16985
2018-05-05 19:40,16985
2018-05-05 20:40,16985
2018-05-05 21:40,16985
2018-05-05 22:40,16985
2018-05-05 23:40,16985
2018-05-06 0:40,16985
2018-05-06 1:40,16985
2018-05-06 2:40,16985
2018-05-06 3:40,16985
2018-05-06 4:40,16985
2018-05-06 5:40,16985
2018-05-06 6:40,16985
2018-05-06 7:40,16985
2018-05-06 8:40,16985
2018-05-06 9:40,16985
2018-05-06 10:40,16985
2018-05-06 11:40,16985
2018-05-06 12:40,16985
