timestamp,FB
2018-05-02 4:54,105088
2018-05-02 6:39,105088
2018-05-03 0:35,104394
2018-05-03 6:34,104394
2018-05-03 6:49,104394
2018-05-03 7:07,104394
2018-05-03 7:34,104394
2018-05-03 7:43,104394
2018-05-03 11:20,104396
2018-05-03 12:43,104396
2018-05-03 13:43,104397
2018-05-03 14:43,104332
2018-05-03 15:43,104243
2018-05-03 16:43,104343
2018-05-03 17:43,104366
2018-05-03 18:43,104346
2018-05-03 19:43,104335
2018-05-03 20:43,104354
2018-05-03 21:43,104353
2018-05-03 22:43,104351
2018-05-03 23:43,104351
2018-05-04 0:43,104351
2018-05-04 1:43,104351
2018-05-04 2:43,104351
2018-05-04 3:43,104351
2018-05-04 4:43,104351
2018-05-04 5:43,104351
2018-05-04 6:43,104351
2018-05-04 7:43,104351
2018-05-04 8:43,104351
2018-05-04 9:43,104356
2018-05-04 10:43,104356
2018-05-04 11:43,104356
2018-05-04 12:43,104356
2018-05-04 20:48,103915
2018-05-04 20:54,103915
2018-05-04 21:00,103915
2018-05-04 21:06,103903
2018-05-04 21:12,103903
2018-05-04 21:18,103903
2018-05-04 21:24,103903
2018-05-04 21:30,103903
2018-05-04 21:43,103903
2018-05-04 22:43,103891
2018-05-04 23:43,103891
2018-05-05 0:43,103891
2018-05-05 1:43,103891
2018-05-05 2:43,103891
2018-05-05 3:43,103891
2018-05-05 4:43,103891
2018-05-05 5:43,103891
2018-05-05 6:43,103891
2018-05-05 7:43,103891
2018-05-05 8:43,103891
2018-05-05 9:43,103891
2018-05-05 10:43,103891
2018-05-05 11:43,103891
2018-05-05 12:43,103891
2018-05-05 13:43,103891
2018-05-05 14:43,103891
2018-05-05 15:43,103891
2018-05-05 16:43,103894
2018-05-05 17:43,103894
2018-05-05 18:43,103894
2018-05-05 19:43,103894
2018-05-05 20:43,103894
2018-05-05 21:43,103894
2018-05-05 22:43,103894
2018-05-05 23:43,103894
2018-05-06 0:43,103894
2018-05-06 1:43,103894
2018-05-06 2:43,103894
2018-05-06 3:43,103894
2018-05-06 4:43,103894
2018-05-06 5:43,103894
2018-05-06 6:43,103894
2018-05-06 7:43,103894
2018-05-06 8:43,103894
2018-05-06 9:43,103894
2018-05-06 10:43,103894
2018-05-06 11:43,103894
2018-05-06 12:43,103894
2018-05-06 13:43,103894
2018-05-06 14:43,103894
2018-05-06 15:43,103894
2018-05-06 16:43,103894
2018-05-06 17:43,103894
2018-05-06 18:43,103894
2018-05-06 19:43,103894
2018-05-06 20:43,103894
2018-05-06 21:43,103894
2018-05-06 22:43,103894
2018-05-06 23:43,103894
2018-05-07 0:43,103894
2018-05-07 1:43,103894
2018-05-07 1:57,103894
2018-05-07 2:43,103894
2018-05-07 3:43,103894
2018-05-07 4:43,103894
2018-05-07 5:43,103894
2018-05-07 6:43,103894
2018-05-07 7:43,103894
2018-05-07 8:43,103894
2018-05-07 9:43,103892
2018-05-07 10:43,103892
2018-05-07 11:43,103892
2018-05-07 12:43,103892
2018-05-07 13:43,103892
2018-05-07 14:43,103837
2018-05-07 15:43,103771
2018-05-07 16:43,103734
2018-05-07 22:43,104020
2018-05-07 23:43,104020
2018-05-08 0:43,104020
2018-05-08 1:43,104020
2018-05-08 2:43,104020
2018-05-08 3:43,104020
2018-05-08 4:43,104020
2018-05-08 5:43,104020
2018-05-08 6:43,104020
