timestamp,TWTR
2018-05-02 4:54,90787
2018-05-02 6:39,90787
2018-05-03 0:36,89968
2018-05-03 6:34,89968
2018-05-03 6:49,89968
2018-05-03 7:08,89968
2018-05-03 7:35,89968
2018-05-03 7:44,89968
2018-05-03 11:20,89970
2018-05-03 12:43,89970
2018-05-03 13:43,89970
2018-05-03 14:44,89991
2018-05-03 15:44,89897
2018-05-03 16:44,89865
2018-05-03 17:44,90057
2018-05-03 18:44,90224
2018-05-03 19:44,90324
2018-05-03 20:44,90396
2018-05-03 21:43,90436
2018-05-03 22:44,90436
2018-05-03 23:43,90436
2018-05-04 0:43,90436
2018-05-04 1:44,90436
2018-05-04 2:44,90436
2018-05-04 3:43,90436
2018-05-04 4:44,90436
2018-05-04 5:44,90436
2018-05-04 6:44,90436
2018-05-04 7:44,90436
2018-05-04 8:44,90436
2018-05-04 9:44,90436
2018-05-04 10:44,90436
2018-05-04 11:44,90436
2018-05-04 12:43,90436
2018-05-04 20:48,90379
2018-05-04 20:54,90379
2018-05-04 21:00,90379
2018-05-04 21:06,90371
2018-05-04 21:12,90371
2018-05-04 21:18,90371
2018-05-04 21:24,90371
2018-05-04 21:30,90371
2018-05-04 21:43,90371
2018-05-04 22:44,90375
2018-05-04 23:44,90375
2018-05-05 0:43,90375
2018-05-05 1:44,90375
2018-05-05 2:44,90375
2018-05-05 3:44,90375
2018-05-05 4:44,90375
2018-05-05 5:43,90375
2018-05-05 6:44,90375
2018-05-05 7:44,90375
2018-05-05 8:44,90375
2018-05-05 9:43,90375
2018-05-05 10:44,90375
2018-05-05 11:43,90375
2018-05-05 12:44,90375
2018-05-05 13:44,90375
2018-05-05 14:44,90375
2018-05-05 15:44,90375
2018-05-05 16:44,90375
2018-05-05 17:44,90375
2018-05-05 18:43,90375
2018-05-05 19:43,90375
2018-05-05 20:44,90375
2018-05-05 21:43,90375
2018-05-05 22:44,90375
2018-05-05 23:43,90375
2018-05-06 0:43,90375
2018-05-06 1:43,90375
2018-05-06 2:44,90375
2018-05-06 3:43,90375
2018-05-06 4:43,90375
2018-05-06 5:44,90375
2018-05-06 6:43,90375
2018-05-06 7:44,90375
2018-05-06 8:43,90375
2018-05-06 9:43,90375
2018-05-06 10:43,90375
2018-05-06 11:44,90375
2018-05-06 12:43,90375
2018-05-06 13:44,90375
2018-05-06 14:43,90375
2018-05-06 15:44,90375
2018-05-06 16:44,90375
2018-05-06 17:43,90375
2018-05-06 18:44,90375
2018-05-06 19:44,90375
2018-05-06 20:44,90375
2018-05-06 21:44,90375
2018-05-06 22:43,90375
2018-05-06 23:44,90375
2018-05-07 0:43,90375
2018-05-07 1:43,90375
2018-05-07 1:57,90375
2018-05-07 2:44,90375
2018-05-07 3:44,90375
2018-05-07 4:43,90375
2018-05-07 5:44,90375
2018-05-07 6:43,90375
2018-05-07 7:43,90375
2018-05-07 8:44,90375
2018-05-07 9:43,90363
2018-05-07 10:43,90363
2018-05-07 11:43,90363
2018-05-07 12:43,90363
2018-05-07 13:44,90363
2018-05-07 14:43,90427
2018-05-07 15:44,90209
2018-05-07 16:44,90167
2018-05-07 22:43,90041
2018-05-07 23:43,90041
2018-05-08 0:44,90041
2018-05-08 1:44,90041
2018-05-08 2:43,90041
2018-05-08 3:43,90041
2018-05-08 4:44,90041
2018-05-08 5:43,90041
2018-05-08 6:43,90041
2018-05-08 7:43,90041
